Timestamp,Month,Day,Hour,Total Hours,Load,PV,Emission_factor,Tou_Tariff,FiT,H2_Tariff
26/01/2023,1,4,9,609,1698.94,0.0,18,0.1255563,0.06277815,2.553081264
23/01/2023,1,1,11,539,895.0,20.0592,18,0.2155995,0.10779975,4.22962808
29/01/2023,1,0,22,694,1763.735,0.0,18,0.079677,0.0398385,4.800264784
15/01/2023,1,0,14,350,1551.0,274.587,18,0.0934425,0.04672125,4.864899792
08/01/2023,1,0,6,174,1874.835,0.0,18,0.0222885,0.01114425,5.760576064
04/01/2023,1,3,9,81,1437.0,0.0,18,0.1186632,0.0593316,5.760576064
15/01/2023,1,0,19,355,1848.0,0.0,18,0.0974511,0.04872555,3.366739728
18/01/2023,1,3,16,424,882.0,0.0,18,0.1385757,0.06928785,3.68120264
22/01/2023,1,0,19,523,897.0,0.0,18,0.1848294,0.0924147,5.760576064
26/01/2023,1,4,17,617,1620.0,0.0,18,0.1301382,0.0650691,5.760576064
16/02/2023,2,4,0,1104,904.0,0.0,18,0.089352,0.044676,2.784072368
07/02/2023,2,2,13,901,3214.0,1729.97,18,0.120672,0.060336,2.266193888
21/02/2023,2,2,0,1224,1504.0,0.0,18,0.0514098,0.0257049,4.954544192
27/02/2023,2,1,14,1382,2814.299,830.406,18,0.1064412,0.0532206,2.917878528
12/02/2023,2,0,10,1018,3071.0,3173.44,18,0.0974736,0.0487368,3.589053712
16/02/2023,2,4,1,1105,849.0,0.0,18,0.0899703,0.04498515,3.681535136
13/02/2023,2,1,21,1053,1269.0975,0.0,18,0.1004715,0.05023575,2.471307584
09/02/2023,2,4,6,942,1833.8575,0.0,18,0.0863289,0.04316445,5.287459504
23/02/2023,2,4,15,1287,1584.0,3011.48,18,0.1058229,0.05291145,1.97486512
04/02/2023,2,6,17,833,1370.0,0.0,18,0.1158858,0.0579429,2.488393856
26/03/2023,3,0,8,2024,3515.0,10.9567,18,0.0809028,0.0404514,3.384186912
23/03/2023,3,4,10,1954,904.0,3889.87,18,0.0745974,0.0372987,3.6854544
29/03/2023,3,3,21,2109,1247.0,0.0,18,0.1130958,0.0565479,1.705227088
15/03/2023,3,3,13,1765,1497.0,5627.65,18,0.0960021,0.04800105,2.81488176
08/03/2023,3,3,5,1589,3980.0,0.0,18,0.1154538,0.0577269,2.325800704
04/03/2023,3,6,8,1496,1137.605,1638.34,18,0.1003095,0.05015475,3.808261552
15/03/2023,3,3,18,1770,842.0,0.0,18,0.1139013,0.05695065,4.17487704
18/03/2023,3,6,15,1839,899.0,4074.55,18,0.0941922,0.0470961,3.602783936
22/03/2023,3,3,18,1938,896.0,31.046,18,0.089316,0.044658,2.163676592
26/03/2023,3,0,16,2032,1045.0,181.897,18,0.0785844,0.0392922,4.288966928
15/04/2023,4,6,3,2499,1749.0,0.0,19,0.1053468,0.0526734,3.984095472
13/04/2023,4,4,1,2449,890.0,0.0,19,0.0906291,0.04531455,4.332643856
03/04/2023,4,1,5,2213,2230.0,0.0,19,0.1067337,0.05336685,3.88255088
09/04/2023,4,0,5,2357,3955.0,0.0,19,0.1094895,0.05474475,1.698146816
19/04/2023,4,3,20,2612,8038.0,0.0,19,0.1098783,0.05493915,3.467086656
03/04/2023,4,1,16,2224,868.0,1056.96,19,0.0927972,0.0463986,5.682359728
03/04/2023,4,1,14,2222,835.0,1325.99,19,0.0818388,0.0409194,5.421780416
07/04/2023,4,5,0,2304,935.0,0.0,19,0.1015524,0.0507762,5.475317744
13/04/2023,4,4,3,2451,1110.0,0.0,19,0.0778698,0.0389349,5.760576064
17/04/2023,4,1,5,2549,810.0,0.0,19,0.1081566,0.0540783,4.795091376
26/05/2023,5,5,8,3488,1223.0,4319.91,15,0.0717579,0.03587895,1.454285264
23/05/2023,5,2,10,3418,1423.0,6085.83,15,0.0639558,0.0319779,3.435069152
29/05/2023,5,1,21,3573,1491.0,0.0,15,0.0700758,0.0350379,2.357185744
15/05/2023,5,1,13,3229,841.0,666.539,15,0.0874557,0.04372785,5.464317136
08/05/2023,5,1,5,3053,1790.0,0.0,15,0.0921573,0.04607865,4.641413744
04/05/2023,5,4,8,2960,848.0,4370.49,15,0.1255347,0.06276735,3.914108656
15/05/2023,5,1,18,3234,1073.0,8.95932,15,0.0838332,0.0419166,4.723707008
18/05/2023,5,4,15,3303,1226.0,1180.95,15,0.056898,0.028449,3.499179248
22/05/2023,5,1,18,3402,1696.0,584.712,15,0.0756468,0.0378234,5.679562512
26/05/2023,5,5,16,3496,1695.0,3793.3,15,0.0238878,0.0119439,4.625239024
15/06/2023,6,4,3,3963,946.0,0.0,14,0.0758754,0.0379377,2.264307376
13/06/2023,6,2,1,3913,1676.1075,0.0,14,0.065601,0.0328005,3.891188416
03/06/2023,6,6,5,3677,5968.0,528.673,14,0.0583614,0.0291807,4.993794368
09/06/2023,6,5,5,3821,1648.0,536.337,14,0.0597087,0.02985435,2.256224128
19/06/2023,6,1,20,4076,2096.645,41.2788,14,0.0876618,0.0438309,3.598511424
03/06/2023,6,6,16,3688,3065.0,3976.38,14,0.0288027,0.01440135,2.201114176
03/06/2023,6,6,14,3686,3033.0,5104.11,14,0.0019935,0.00099675,4.879857008
07/06/2023,6,3,0,3768,1353.0,0.0,14,0.0597609,0.02988045,1.599943456
13/06/2023,6,2,3,3915,1155.1075,0.0,14,0.0650475,0.03252375,5.200500768
17/06/2023,6,6,5,4013,1888.0,721.758,14,0.0815625,0.04078125,5.290271152
26/07/2023,7,3,8,4952,905.0,3836.64,17,0.0291051,0.01455255,2.235896928
23/07/2023,7,0,10,4882,832.0,5722.49,17,0.0035163,0.00175815,4.342884432
29/07/2023,7,6,21,5037,924.0,0.0,17,0.0271683,0.01358415,3.543059664
15/07/2023,7,6,13,4693,1852.0,3661.93,17,-0.0001314,-6.57e-05,4.497851376
08/07/2023,7,6,5,4517,1922.9775,449.259,17,0.0455661,0.02278305,3.318361312
04/07/2023,7,2,8,4424,1550.5725,418.636,17,0.0684009,0.03420045,4.880573888
15/07/2023,7,6,18,4698,1817.0,1275.35,17,0.0358344,0.0179172,4.84048672
18/07/2023,7,2,15,4767,1731.2175,2151.94,17,0.0212886,0.0106443,4.922971856
22/07/2023,7,6,18,4866,912.0,1167.82,17,0.0140535,0.00702675,3.61276016
26/07/2023,7,3,16,4960,1559.0,3745.41,17,0.029547,0.0147735,3.798046768
26/08/2023,8,6,8,5696,1420.0,529.684,20,0.0051876,0.0025938,4.588334464
23/08/2023,8,3,10,5626,829.0,5195.74,20,0.0214884,0.0107442,4.39914304
29/08/2023,8,2,21,5781,1382.9775,0.0,20,0.0251208,0.0125604,1.891583616
15/08/2023,8,2,13,5437,4283.0,2137.81,20,0.0235278,0.0117639,1.63614408
08/08/2023,8,2,5,5261,1188.0,60.9587,20,-0.0023319,-0.00116595,4.699803872
04/08/2023,8,5,8,5168,3317.0,3837.38,20,0.0238761,0.01193805,1.877641792
15/08/2023,8,2,18,5442,1199.0,369.252,20,0.0246483,0.01232415,4.284455136
18/08/2023,8,5,15,5511,1099.0,1485.14,20,0.0229635,0.01148175,3.284615776
22/08/2023,8,2,18,5610,1416.0,479.549,20,0.021006,0.010503,4.611408304
26/08/2023,8,6,16,5704,1020.0,207.927,20,0.014526,0.007263,3.212290768
15/09/2023,9,5,3,6171,877.0,0.0,19,0.0020079,0.00100395,2.326411472
13/09/2023,9,3,1,6121,933.0,0.0,19,0.0025965,0.00129825,3.647700496
03/09/2023,9,0,5,5885,1669.0,0.0,19,3.06e-05,1.53e-05,2.062856096
09/09/2023,9,6,5,6029,1068.0,0.0,19,0.0009972,0.0004986,4.955681456
19/09/2023,9,2,20,6284,1197.0,0.0,19,-0.0026001,-0.00130005,4.20645016
03/09/2023,9,0,16,5896,1133.0,933.25,19,0.0011988,0.0005994,1.463876368
03/09/2023,9,0,14,5894,1089.0,2868.33,19,0.0011988,0.0005994,2.330701552
07/09/2023,9,4,0,5976,5072.0,0.0,19,0.0037431,0.00187155,3.511063888
13/09/2023,9,3,3,6123,911.0,0.0,19,0.0024417,0.00122085,4.133052144
17/09/2023,9,0,5,6221,1705.02,0.0,19,-0.0033849,-0.00169245,4.220655424
26/10/2023,10,4,8,7160,865.0,0.0,18,0.0718398,0.0359199,3.046847312
23/10/2023,10,1,10,7090,1846.255,3850.7,18,0.1312623,0.06563115,5.305168144
29/10/2023,10,0,21,7245,3225.0,0.0,18,0.0591606,0.0295803,3.953551232
15/10/2023,10,0,13,6901,819.0,269.563,18,-0.0010674,-0.0005337,3.3897232
08/10/2023,10,0,5,6725,861.0,0.0,18,0.0019413,0.00097065,5.760576064
04/10/2023,10,3,8,6632,882.0,0.0,18,0.0050931,0.00254655,2.675108448
15/10/2023,10,0,18,6906,889.0,0.0,18,0.0358146,0.0179073,1.9931932
18/10/2023,10,3,15,6975,1962.255,2084.26,18,0.052236,0.026118,5.260199872
22/10/2023,10,0,18,7074,870.0,0.0,18,0.0618975,0.03094875,5.760576064
26/10/2023,10,4,16,7168,1472.0,0.0,18,0.0760608,0.0380304,1.571374816
15/11/2023,11,3,3,7635,1363.0,0.0,19,0.0760086,0.0380043,3.850412288
13/11/2023,11,1,1,7585,3596.0,0.0,19,0.0899586,0.0449793,1.876795344
03/11/2023,11,5,5,7349,904.0,0.0,19,0.0384507,0.01922535,4.946858096
09/11/2023,11,4,5,7493,4572.0,0.0,19,0.0853488,0.0426744,3.662454384
19/11/2023,11,0,20,7748,3723.0,0.0,19,0.0939321,0.04696605,2.195389264
03/11/2023,11,5,16,7360,855.0,0.0,19,0.0648396,0.0324198,5.531249424
03/11/2023,11,5,14,7358,933.0,179.975,19,0.0637812,0.0318906,1.906676128
07/11/2023,11,2,0,7440,1295.09,0.0,19,0.0816354,0.0408177,2.509374016
13/11/2023,11,1,3,7587,3613.0,0.0,19,0.0853452,0.0426726,2.94481592
17/11/2023,11,5,5,7685,816.0,0.0,19,0.1059516,0.0529758,3.220941424
26/12/2023,12,2,8,8624,1381.0,0.0,19,0.0552636,0.0276318,3.300449152
23/12/2023,12,6,10,8554,834.0,0.0,19,0.0550269,0.02751345,1.902845264
29/12/2023,12,5,21,8709,858.0,0.0,19,0.0641646,0.0320823,2.264478
15/12/2023,12,5,13,8365,2061.415,87.6997,19,0.0888264,0.0444132,3.592484448
08/12/2023,12,5,5,8189,1605.0,0.0,19,0.0921996,0.0460998,5.760576064
04/12/2023,12,1,8,8096,1093.0,0.0,19,0.132894,0.066447,5.725976224
15/12/2023,12,5,18,8370,1515.0,0.0,19,0.0881523,0.04407615,1.713411808
18/12/2023,12,1,15,8439,831.0,0.0,19,0.0706923,0.03534615,5.760576064
22/12/2023,12,5,18,8538,1090.0,0.0,19,0.0601092,0.0300546,5.760576064
26/12/2023,12,2,16,8632,1384.0,0.0,19,0.0629892,0.0314946,5.760576064
